created_at,full_text,labeling,corrected_text,stop_word,tokenize
2025-10-01T21:58:13.000Z,anjay,netral,anjay,anjay,['anjay']
2025-10-01T23:59:34.000Z,temen gw sampe jual motor buat zeus udah ga ketolong,negatif,temen saya sampe jual motor buat zeus sudah tidak ketolong,temen saya jual motor buat zeus tidak ketolong,"['temen', 'saya', 'jual', 'motor', 'buat', 'zeus', 'tidak', 'ketolong']"
2025-10-02T00:25:27.000Z,info rtp live terupdate main starlight princess depo k main sepuasnya gas mahjong,positif,informasi rtp live terupdate main starlight princess setoran dana k main sepuasnya gas mahjong,informasi rtp live terupdate main starlight princess setoran dana k main sepuasnya gas mahjong,"['informasi', 'rtp', 'live', 'terupdate', 'main', 'starlight', 'princess', 'setoran', 'dana', 'k', 'main', 'sepuasnya', 'gas', 'mahjong']"
2025-10-02T02:12:26.000Z,gacor parah bosku main gates of olympus scatter turun terus daftar sekarang slotgacor judionline rungkad,positif,menang terus parah bosku main gates of olympus simbol menang turun terus daftar sekarang slotgacor judionline rungkad,menang terus parah bosku main gates of olympus simbol menang turun terus daftar sekarang slotgacor judionline rungkad,"['menang', 'terus', 'parah', 'bosku', 'main', 'gates', 'of', 'olympus', 'simbol', 'menang', 'turun', 'terus', 'daftar', 'sekarang', 'slotgacor', 'judionline', 'rungkad']"
2025-10-02T02:43:07.000Z,info terkini kominfo memblokir ratusan situs judi online kunjungi,netral,informasi terkini kominfo memblokir ratusan situs judi online kunjungi,informasi terkini kominfo memblokir ratusan situs judi online kunjungi,"['informasi', 'terkini', 'kominfo', 'memblokir', 'ratusan', 'situs', 'judi', 'online', 'kunjungi']"
2025-10-02T03:55:02.000Z,tolol emang yang main judol,netral,tolol emang yang main judi online,tolol emang main judi online,"['tolol', 'emang', 'main', 'judi', 'online']"
2025-10-02T05:59:13.000Z,gacor parah bosku main mahjong ways scatter turun terus daftar sekarang mahjong rungkad rungkad,positif,menang terus parah bosku main mahjong ways simbol menang turun terus daftar sekarang mahjong rungkad rungkad,menang terus parah bosku main mahjong ways simbol menang turun terus daftar sekarang mahjong rungkad rungkad,"['menang', 'terus', 'parah', 'bosku', 'main', 'mahjong', 'ways', 'simbol', 'menang', 'turun', 'terus', 'daftar', 'sekarang', 'mahjong', 'rungkad', 'rungkad']"
2025-10-02T07:30:45.000Z,info rtp live terupdate main starlight princess depo k main sepuasnya link alternatif stopjudionline judionline,positif,informasi rtp live terupdate main starlight princess setoran dana k main sepuasnya tautan alternatif stopjudionline judionline,informasi rtp live terupdate main starlight princess setoran dana k main sepuasnya tautan alternatif stopjudionline judionline,"['informasi', 'rtp', 'live', 'terupdate', 'main', 'starlight', 'princess', 'setoran', 'dana', 'k', 'main', 'sepuasnya', 'tautan', 'alternatif', 'stopjudionline', 'judionline']"
2025-10-02T10:25:51.000Z,info terkini polisi berhasil menggerebek markas sindikat judol internasional baca artikelnya,netral,informasi terkini polisi berhasil menggerebek markas sindikat judi online internasional baca artikelnya,informasi terkini polisi berhasil menggerebek markas sindikat judi online internasional baca artikelnya,"['informasi', 'terkini', 'polisi', 'berhasil', 'menggerebek', 'markas', 'sindikat', 'judi', 'online', 'internasional', 'baca', 'artikelnya']"
2025-10-02T12:59:23.000Z,bonus new member main mahjong ways rtp anti rungkad link alternatif maxwin,positif,bonus new member main mahjong ways rtp anti rungkad tautan alternatif maxwin,bonus new member main mahjong ways rtp anti rungkad tautan alternatif maxwin,"['bonus', 'new', 'member', 'main', 'mahjong', 'ways', 'rtp', 'anti', 'rungkad', 'tautan', 'alternatif', 'maxwin']"
2025-10-02T14:26:16.000Z,malah promosi,netral,malah promosi,promosi,['promosi']
2025-10-03T05:51:38.000Z,wd berapapun pasti dibayar main starlight princess rtp anti rungkad daftar sekarang judionline mahjong,positif,penarikan dana berapapun pasti dibayar main starlight princess rtp anti rungkad daftar sekarang judionline mahjong,penarikan dana berapapun dibayar main starlight princess rtp anti rungkad daftar sekarang judionline mahjong,"['penarikan', 'dana', 'berapapun', 'dibayar', 'main', 'starlight', 'princess', 'rtp', 'anti', 'rungkad', 'daftar', 'sekarang', 'judionline', 'mahjong']"
2025-10-03T08:50:05.000Z,kominfo memblokir ratusan situs judi online selengkapnya,netral,kominfo memblokir ratusan situs judi online selengkapnya,kominfo memblokir ratusan situs judi online selengkapnya,"['kominfo', 'memblokir', 'ratusan', 'situs', 'judi', 'online', 'selengkapnya']"
2025-10-03T09:52:56.000Z,gacor parah bosku main gates of olympus pola gacor malam ini x manual x auto gas zeus pinjol maxwin mahjong,positif,menang terus parah bosku main gates of olympus pola menang terus malam ini x manual x auto gas zeus pinjaman online maxwin mahjong,menang terus parah bosku main gates of olympus pola menang terus malam x manual x auto gas zeus pinjaman online maxwin mahjong,"['menang', 'terus', 'parah', 'bosku', 'main', 'gates', 'of', 'olympus', 'pola', 'menang', 'terus', 'malam', 'x', 'manual', 'x', 'auto', 'gas', 'zeus', 'pinjaman', 'online', 'maxwin', 'mahjong']"
2025-10-03T09:59:52.000Z,main starlight princess depo k main sepuasnya daftar sekarang maxwin slotgacor rungkad judionline,positif,main starlight princess setoran dana k main sepuasnya daftar sekarang maxwin slotgacor rungkad judionline,main starlight princess setoran dana k main sepuasnya daftar sekarang maxwin slotgacor rungkad judionline,"['main', 'starlight', 'princess', 'setoran', 'dana', 'k', 'main', 'sepuasnya', 'daftar', 'sekarang', 'maxwin', 'slotgacor', 'rungkad', 'judionline']"
2025-10-03T10:51:10.000Z,maxwin menanti main mahjong ways pola gacor malam ini x manual x auto gas maxwin pinjol,positif,maxwin menanti main mahjong ways pola menang terus malam ini x manual x auto gas maxwin pinjaman online,maxwin menanti main mahjong ways pola menang terus malam x manual x auto gas maxwin pinjaman online,"['maxwin', 'menanti', 'main', 'mahjong', 'ways', 'pola', 'menang', 'terus', 'malam', 'x', 'manual', 'x', 'auto', 'gas', 'maxwin', 'pinjaman', 'online']"
2025-10-03T12:06:14.000Z,gacor parah bosku main starlight princess scatter turun terus gas maxwin,positif,menang terus parah bosku main starlight princess simbol menang turun terus gas maxwin,menang terus parah bosku main starlight princess simbol menang turun terus gas maxwin,"['menang', 'terus', 'parah', 'bosku', 'main', 'starlight', 'princess', 'simbol', 'menang', 'turun', 'terus', 'gas', 'maxwin']"
2025-10-03T16:03:21.000Z,gw hancur gara judi onlen skrg diusir dari kosan,negatif,saya hancur gara judi onlen sekarang diusir dari kosan,saya hancur gara judi onlen sekarang diusir kosan,"['saya', 'hancur', 'gara', 'judi', 'onlen', 'sekarang', 'diusir', 'kosan']"
2025-10-03T16:09:49.000Z,berita polisi berhasil menggerebek markas sindikat judol internasional selengkapnya,netral,berita polisi berhasil menggerebek markas sindikat judi online internasional selengkapnya,berita polisi berhasil menggerebek markas sindikat judi online internasional selengkapnya,"['berita', 'polisi', 'berhasil', 'menggerebek', 'markas', 'sindikat', 'judi', 'online', 'internasional', 'selengkapnya']"
2025-10-03T18:40:30.000Z,maxwin menanti main mahjong ways pola gacor malam ini x manual x auto klik link di bio stopjudionline,positif,maxwin menanti main mahjong ways pola menang terus malam ini x manual x auto klik tautan di biografi stopjudionline,maxwin menanti main mahjong ways pola menang terus malam x manual x auto klik tautan biografi stopjudionline,"['maxwin', 'menanti', 'main', 'mahjong', 'ways', 'pola', 'menang', 'terus', 'malam', 'x', 'manual', 'x', 'auto', 'klik', 'tautan', 'biografi', 'stopjudionline']"
2025-10-03T19:28:33.000Z,berita polisi berhasil menggerebek markas situs slot selengkapnya,netral,berita polisi berhasil menggerebek markas situs permainan selengkapnya,berita polisi berhasil menggerebek markas situs permainan selengkapnya,"['berita', 'polisi', 'berhasil', 'menggerebek', 'markas', 'situs', 'permainan', 'selengkapnya']"
2025-10-03T19:59:00.000Z,berita ojk ingatkan bahaya pinjol dan judi online selengkapnya,netral,berita ojk ingatkan bahaya pinjaman online dan judi online selengkapnya,berita ojk ingatkan bahaya pinjaman online judi online selengkapnya,"['berita', 'ojk', 'ingatkan', 'bahaya', 'pinjaman', 'online', 'judi', 'online', 'selengkapnya']"
2025-10-03T20:16:59.000Z,gacor parah bosku main mahjong ways scatter turun terus klik link di bio mahjong rtplive pinjol,positif,menang terus parah bosku main mahjong ways simbol menang turun terus klik tautan di biografi mahjong rtplive pinjaman online,menang terus parah bosku main mahjong ways simbol menang turun terus klik tautan biografi mahjong rtplive pinjaman online,"['menang', 'terus', 'parah', 'bosku', 'main', 'mahjong', 'ways', 'simbol', 'menang', 'turun', 'terus', 'klik', 'tautan', 'biografi', 'mahjong', 'rtplive', 'pinjaman', 'online']"
2025-10-03T20:44:32.000Z,main koi gate depo k main sepuasnya klik link di bio maxwin zeus,positif,main koi gate setoran dana k main sepuasnya klik tautan di biografi maxwin zeus,main koi gate setoran dana k main sepuasnya klik tautan biografi maxwin zeus,"['main', 'koi', 'gate', 'setoran', 'dana', 'k', 'main', 'sepuasnya', 'klik', 'tautan', 'biografi', 'maxwin', 'zeus']"
2025-10-03T21:10:35.000Z,wd berapapun pasti dibayar main mahjong ways scatter turun terus link alternatif maxwin judionline slotgacor maxwin,positif,penarikan dana berapapun pasti dibayar main mahjong ways simbol menang turun terus tautan alternatif maxwin judionline slotgacor maxwin,penarikan dana berapapun dibayar main mahjong ways simbol menang turun terus tautan alternatif maxwin judionline slotgacor maxwin,"['penarikan', 'dana', 'berapapun', 'dibayar', 'main', 'mahjong', 'ways', 'simbol', 'menang', 'turun', 'terus', 'tautan', 'alternatif', 'maxwin', 'judionline', 'slotgacor', 'maxwin']"
2025-10-03T21:35:40.000Z,maxwin menanti main mahjong ways pola gacor malam ini x manual x auto gas rungkad mahjong pinjol,positif,maxwin menanti main mahjong ways pola menang terus malam ini x manual x auto gas rungkad mahjong pinjaman online,maxwin menanti main mahjong ways pola menang terus malam x manual x auto gas rungkad mahjong pinjaman online,"['maxwin', 'menanti', 'main', 'mahjong', 'ways', 'pola', 'menang', 'terus', 'malam', 'x', 'manual', 'x', 'auto', 'gas', 'rungkad', 'mahjong', 'pinjaman', 'online']"
2025-10-03T22:23:52.000Z,berita kominfo memblokir ratusan situs situs slot baca artikelnya,netral,berita kominfo memblokir ratusan situs situs permainan baca artikelnya,berita kominfo memblokir ratusan situs situs permainan baca artikelnya,"['berita', 'kominfo', 'memblokir', 'ratusan', 'situs', 'situs', 'permainan', 'baca', 'artikelnya']"
2025-10-03T22:53:45.000Z,bonus new member main koi gate rtp anti rungkad klik link di bio stopjudionline rungkad mahjong,positif,bonus new member main koi gate rtp anti rungkad klik tautan di biografi stopjudionline rungkad mahjong,bonus new member main koi gate rtp anti rungkad klik tautan biografi stopjudionline rungkad mahjong,"['bonus', 'new', 'member', 'main', 'koi', 'gate', 'rtp', 'anti', 'rungkad', 'klik', 'tautan', 'biografi', 'stopjudionline', 'rungkad', 'mahjong']"
2025-10-04T01:55:37.000Z,bonus new member main gates of olympus scatter turun terus daftar sekarang pinjol slotgacorhariini judionline rungkad,positif,bonus new member main gates of olympus simbol menang turun terus daftar sekarang pinjaman online slotgacorhariini judionline rungkad,bonus new member main gates of olympus simbol menang turun terus daftar sekarang pinjaman online slotgacorhariini judionline rungkad,"['bonus', 'new', 'member', 'main', 'gates', 'of', 'olympus', 'simbol', 'menang', 'turun', 'terus', 'daftar', 'sekarang', 'pinjaman', 'online', 'slotgacorhariini', 'judionline', 'rungkad']"
2025-10-04T03:22:30.000Z,bonus new member main koi gate pola gacor malam ini x manual x auto klik link di bio rtplive maxwin,positif,bonus new member main koi gate pola menang terus malam ini x manual x auto klik tautan di biografi rtplive maxwin,bonus new member main koi gate pola menang terus malam x manual x auto klik tautan biografi rtplive maxwin,"['bonus', 'new', 'member', 'main', 'koi', 'gate', 'pola', 'menang', 'terus', 'malam', 'x', 'manual', 'x', 'auto', 'klik', 'tautan', 'biografi', 'rtplive', 'maxwin']"
2025-10-04T09:43:43.000Z,adik kelas ketagihan judol udah ga ketolong,negatif,adik kelas ketagihan judi online sudah tidak ketolong,adik kelas ketagihan judi online tidak ketolong,"['adik', 'kelas', 'ketagihan', 'judi', 'online', 'tidak', 'ketolong']"
2025-10-04T13:59:46.000Z,berita kominfo memblokir ratusan situs sindikat judol internasional baca artikelnya,netral,berita kominfo memblokir ratusan situs sindikat judi online internasional baca artikelnya,berita kominfo memblokir ratusan situs sindikat judi online internasional baca artikelnya,"['berita', 'kominfo', 'memblokir', 'ratusan', 'situs', 'sindikat', 'judi', 'online', 'internasional', 'baca', 'artikelnya']"
2025-10-04T18:36:30.000Z,main sweet bonanza depo k main sepuasnya daftar sekarang zeus zeus,positif,main sweet bonanza setoran dana k main sepuasnya daftar sekarang zeus zeus,main sweet bonanza setoran dana k main sepuasnya daftar sekarang zeus zeus,"['main', 'sweet', 'bonanza', 'setoran', 'dana', 'k', 'main', 'sepuasnya', 'daftar', 'sekarang', 'zeus', 'zeus']"
2025-10-04T20:42:37.000Z,bapaknya gila main slot udah ga ketolong,negatif,bapaknya gila main permainan sudah tidak ketolong,bapaknya gila main permainan tidak ketolong,"['bapaknya', 'gila', 'main', 'permainan', 'tidak', 'ketolong']"
2025-10-04T23:22:53.000Z,gw gila main slot tolong lah polisi tangkep,negatif,saya gila main permainan tolong lah polisi tangkep,saya gila main permainan polisi tangkep,"['saya', 'gila', 'main', 'permainan', 'polisi', 'tangkep']"
2025-10-05T00:28:41.000Z,maxwin menanti main starlight princess scatter turun terus daftar sekarang mahjong slotgacorhariini maxwin,positif,maxwin menanti main starlight princess simbol menang turun terus daftar sekarang mahjong slotgacorhariini maxwin,maxwin menanti main starlight princess simbol menang turun terus daftar sekarang mahjong slotgacorhariini maxwin,"['maxwin', 'menanti', 'main', 'starlight', 'princess', 'simbol', 'menang', 'turun', 'terus', 'daftar', 'sekarang', 'mahjong', 'slotgacorhariini', 'maxwin']"
2025-10-05T01:33:53.000Z,gacor parah bosku main mahjong ways rtp anti rungkad klik link di bio slotgacor maxwin rtplive judionline,positif,menang terus parah bosku main mahjong ways rtp anti rungkad klik tautan di biografi slotgacor maxwin rtplive judionline,menang terus parah bosku main mahjong ways rtp anti rungkad klik tautan biografi slotgacor maxwin rtplive judionline,"['menang', 'terus', 'parah', 'bosku', 'main', 'mahjong', 'ways', 'rtp', 'anti', 'rungkad', 'klik', 'tautan', 'biografi', 'slotgacor', 'maxwin', 'rtplive', 'judionline']"
2025-10-05T04:29:24.000Z,gacor parah bosku main koi gate pola gacor malam ini x manual x auto klik link di bio slotgacorhariini,positif,menang terus parah bosku main koi gate pola menang terus malam ini x manual x auto klik tautan di biografi slotgacorhariini,menang terus parah bosku main koi gate pola menang terus malam x manual x auto klik tautan biografi slotgacorhariini,"['menang', 'terus', 'parah', 'bosku', 'main', 'koi', 'gate', 'pola', 'menang', 'terus', 'malam', 'x', 'manual', 'x', 'auto', 'klik', 'tautan', 'biografi', 'slotgacorhariini']"
2025-10-05T04:49:43.000Z,info rtp live terupdate main koi gate rtp anti rungkad daftar sekarang mahjong rtplive,positif,informasi rtp live terupdate main koi gate rtp anti rungkad daftar sekarang mahjong rtplive,informasi rtp live terupdate main koi gate rtp anti rungkad daftar sekarang mahjong rtplive,"['informasi', 'rtp', 'live', 'terupdate', 'main', 'koi', 'gate', 'rtp', 'anti', 'rungkad', 'daftar', 'sekarang', 'mahjong', 'rtplive']"
2025-10-05T06:57:45.000Z,maxwin menanti main koi gate rtp anti rungkad link alternatif zeus rtplive slotgacor judionline,positif,maxwin menanti main koi gate rtp anti rungkad tautan alternatif zeus rtplive slotgacor judionline,maxwin menanti main koi gate rtp anti rungkad tautan alternatif zeus rtplive slotgacor judionline,"['maxwin', 'menanti', 'main', 'koi', 'gate', 'rtp', 'anti', 'rungkad', 'tautan', 'alternatif', 'zeus', 'rtplive', 'slotgacor', 'judionline']"
2025-10-05T07:17:24.000Z,wd berapapun pasti dibayar main gates of olympus pola gacor malam ini x manual x auto daftar sekarang stopjudionline slotgacorhariini rtplive slotgacor,positif,penarikan dana berapapun pasti dibayar main gates of olympus pola menang terus malam ini x manual x auto daftar sekarang stopjudionline slotgacorhariini rtplive slotgacor,penarikan dana berapapun dibayar main gates of olympus pola menang terus malam x manual x auto daftar sekarang stopjudionline slotgacorhariini rtplive slotgacor,"['penarikan', 'dana', 'berapapun', 'dibayar', 'main', 'gates', 'of', 'olympus', 'pola', 'menang', 'terus', 'malam', 'x', 'manual', 'x', 'auto', 'daftar', 'sekarang', 'stopjudionline', 'slotgacorhariini', 'rtplive', 'slotgacor']"
2025-10-05T07:27:49.000Z,gacor parah bosku main starlight princess scatter turun terus link alternatif slotgacorhariini mahjong rtplive,positif,menang terus parah bosku main starlight princess simbol menang turun terus tautan alternatif slotgacorhariini mahjong rtplive,menang terus parah bosku main starlight princess simbol menang turun terus tautan alternatif slotgacorhariini mahjong rtplive,"['menang', 'terus', 'parah', 'bosku', 'main', 'starlight', 'princess', 'simbol', 'menang', 'turun', 'terus', 'tautan', 'alternatif', 'slotgacorhariini', 'mahjong', 'rtplive']"
2025-10-05T07:53:46.000Z,breaking ojk ingatkan bahaya pinjol dan judi online kunjungi,netral,breaking ojk ingatkan bahaya pinjaman online dan judi online kunjungi,breaking ojk ingatkan bahaya pinjaman online judi online kunjungi,"['breaking', 'ojk', 'ingatkan', 'bahaya', 'pinjaman', 'online', 'judi', 'online', 'kunjungi']"
2025-10-05T08:06:39.000Z,gua gila main zeus udah ga ketolong,negatif,gua gila main zeus sudah tidak ketolong,gua gila main zeus tidak ketolong,"['gua', 'gila', 'main', 'zeus', 'tidak', 'ketolong']"
2025-10-05T11:58:23.000Z,wd berapapun pasti dibayar main gates of olympus depo k main sepuasnya klik link di bio slotgacorhariini slotgacorhariini rungkad stopjudionline,positif,penarikan dana berapapun pasti dibayar main gates of olympus setoran dana k main sepuasnya klik tautan di biografi slotgacorhariini slotgacorhariini rungkad stopjudionline,penarikan dana berapapun dibayar main gates of olympus setoran dana k main sepuasnya klik tautan biografi slotgacorhariini slotgacorhariini rungkad stopjudionline,"['penarikan', 'dana', 'berapapun', 'dibayar', 'main', 'gates', 'of', 'olympus', 'setoran', 'dana', 'k', 'main', 'sepuasnya', 'klik', 'tautan', 'biografi', 'slotgacorhariini', 'slotgacorhariini', 'rungkad', 'stopjudionline']"
2025-10-05T16:35:28.000Z,bonus new member main sweet bonanza pola gacor malam ini x manual x auto gas slotgacorhariini mahjong mahjong slotgacorhariini,positif,bonus new member main sweet bonanza pola menang terus malam ini x manual x auto gas slotgacorhariini mahjong mahjong slotgacorhariini,bonus new member main sweet bonanza pola menang terus malam x manual x auto gas slotgacorhariini mahjong mahjong slotgacorhariini,"['bonus', 'new', 'member', 'main', 'sweet', 'bonanza', 'pola', 'menang', 'terus', 'malam', 'x', 'manual', 'x', 'auto', 'gas', 'slotgacorhariini', 'mahjong', 'mahjong', 'slotgacorhariini']"
2025-10-05T19:28:34.000Z,rungkad lur,netral,rungkad lur,rungkad lur,"['rungkad', 'lur']"
2025-10-05T20:26:26.000Z,maxwin menanti main koi gate scatter turun terus daftar sekarang maxwin,positif,maxwin menanti main koi gate simbol menang turun terus daftar sekarang maxwin,maxwin menanti main koi gate simbol menang turun terus daftar sekarang maxwin,"['maxwin', 'menanti', 'main', 'koi', 'gate', 'simbol', 'menang', 'turun', 'terus', 'daftar', 'sekarang', 'maxwin']"
2025-10-05T21:23:57.000Z,main gates of olympus depo k main sepuasnya klik link di bio slotgacorhariini pinjol,positif,main gates of olympus setoran dana k main sepuasnya klik tautan di biografi slotgacorhariini pinjaman online,main gates of olympus setoran dana k main sepuasnya klik tautan biografi slotgacorhariini pinjaman online,"['main', 'gates', 'of', 'olympus', 'setoran', 'dana', 'k', 'main', 'sepuasnya', 'klik', 'tautan', 'biografi', 'slotgacorhariini', 'pinjaman', 'online']"
2025-10-05T21:47:38.000Z,info rtp live terupdate main koi gate rtp anti rungkad gas mahjong pinjol zeus mahjong,positif,informasi rtp live terupdate main koi gate rtp anti rungkad gas mahjong pinjaman online zeus mahjong,informasi rtp live terupdate main koi gate rtp anti rungkad gas mahjong pinjaman online zeus mahjong,"['informasi', 'rtp', 'live', 'terupdate', 'main', 'koi', 'gate', 'rtp', 'anti', 'rungkad', 'gas', 'mahjong', 'pinjaman', 'online', 'zeus', 'mahjong']"
2025-10-05T22:50:43.000Z,info rtp live terupdate main mahjong ways rtp anti rungkad gas stopjudionline slotgacorhariini,positif,informasi rtp live terupdate main mahjong ways rtp anti rungkad gas stopjudionline slotgacorhariini,informasi rtp live terupdate main mahjong ways rtp anti rungkad gas stopjudionline slotgacorhariini,"['informasi', 'rtp', 'live', 'terupdate', 'main', 'mahjong', 'ways', 'rtp', 'anti', 'rungkad', 'gas', 'stopjudionline', 'slotgacorhariini']"
2025-10-05T23:52:09.000Z,gacor parah bosku main gates of olympus pola gacor malam ini x manual x auto daftar sekarang maxwin rungkad slotgacorhariini maxwin,positif,menang terus parah bosku main gates of olympus pola menang terus malam ini x manual x auto daftar sekarang maxwin rungkad slotgacorhariini maxwin,menang terus parah bosku main gates of olympus pola menang terus malam x manual x auto daftar sekarang maxwin rungkad slotgacorhariini maxwin,"['menang', 'terus', 'parah', 'bosku', 'main', 'gates', 'of', 'olympus', 'pola', 'menang', 'terus', 'malam', 'x', 'manual', 'x', 'auto', 'daftar', 'sekarang', 'maxwin', 'rungkad', 'slotgacorhariini', 'maxwin']"
2025-10-06T01:00:29.000Z,info rtp live terupdate main koi gate pola gacor malam ini x manual x auto klik link di bio zeus zeus,positif,informasi rtp live terupdate main koi gate pola menang terus malam ini x manual x auto klik tautan di biografi zeus zeus,informasi rtp live terupdate main koi gate pola menang terus malam x manual x auto klik tautan biografi zeus zeus,"['informasi', 'rtp', 'live', 'terupdate', 'main', 'koi', 'gate', 'pola', 'menang', 'terus', 'malam', 'x', 'manual', 'x', 'auto', 'klik', 'tautan', 'biografi', 'zeus', 'zeus']"
2025-10-06T11:27:11.000Z,adik kelas sampe jual motor buat zeus asli sedih liatnya,negatif,adik kelas sampe jual motor buat zeus asli sedih liatnya,adik kelas jual motor buat zeus asli sedih liatnya,"['adik', 'kelas', 'jual', 'motor', 'buat', 'zeus', 'asli', 'sedih', 'liatnya']"
2025-10-06T13:40:23.000Z,temen gw ketagihan zeus tolong lah polisi tangkep,negatif,temen saya ketagihan zeus tolong lah polisi tangkep,temen saya ketagihan zeus polisi tangkep,"['temen', 'saya', 'ketagihan', 'zeus', 'polisi', 'tangkep']"
2025-10-06T20:04:54.000Z,maxwin menanti main gates of olympus scatter turun terus link alternatif rungkad judionline maxwin slotgacor,positif,maxwin menanti main gates of olympus simbol menang turun terus tautan alternatif rungkad judionline maxwin slotgacor,maxwin menanti main gates of olympus simbol menang turun terus tautan alternatif rungkad judionline maxwin slotgacor,"['maxwin', 'menanti', 'main', 'gates', 'of', 'olympus', 'simbol', 'menang', 'turun', 'terus', 'tautan', 'alternatif', 'rungkad', 'judionline', 'maxwin', 'slotgacor']"
2025-10-06T22:13:27.000Z,main sweet bonanza scatter turun terus daftar sekarang mahjong pinjol pinjol stopjudionline,positif,main sweet bonanza simbol menang turun terus daftar sekarang mahjong pinjaman online pinjaman online stopjudionline,main sweet bonanza simbol menang turun terus daftar sekarang mahjong pinjaman online pinjaman online stopjudionline,"['main', 'sweet', 'bonanza', 'simbol', 'menang', 'turun', 'terus', 'daftar', 'sekarang', 'mahjong', 'pinjaman', 'online', 'pinjaman', 'online', 'stopjudionline']"
2025-10-07T02:07:23.000Z,depo brp bang,netral,setoran dana brp bang,setoran dana brp bang,"['setoran', 'dana', 'brp', 'bang']"
2025-10-07T02:28:41.000Z,bonus new member main koi gate scatter turun terus klik link di bio slotgacor zeus stopjudionline slotgacor,positif,bonus new member main koi gate simbol menang turun terus klik tautan di biografi slotgacor zeus stopjudionline slotgacor,bonus new member main koi gate simbol menang turun terus klik tautan biografi slotgacor zeus stopjudionline slotgacor,"['bonus', 'new', 'member', 'main', 'koi', 'gate', 'simbol', 'menang', 'turun', 'terus', 'klik', 'tautan', 'biografi', 'slotgacor', 'zeus', 'stopjudionline', 'slotgacor']"
