created_at,full_text,labeling
2025-10-17T03:36:24.000Z,gacor parah bosku main gates of olympus pola gacor malam ini x manual x auto daftar sekarang slotgacor pinjol,positif
2025-10-17T03:59:51.000Z,temen gw terlilit pinjol gara slot bikin emosi,negatif
2025-10-17T04:08:00.000Z,ya gmn namanya jg judi,netral
2025-10-17T04:43:14.000Z,gw ketagihan judi onlen asli sedih liatnya,negatif
2025-10-17T04:55:50.000Z,bapaknya gila main zeus bikin emosi,negatif
2025-10-17T05:13:02.000Z,gacor parah bosku main gates of olympus depo k main sepuasnya gas judionline,positif
2025-10-17T05:28:35.000Z,main koi gate depo k main sepuasnya link alternatif mahjong zeus zeus pinjol,positif
2025-10-17T06:20:20.000Z,main sweet bonanza pola gacor malam ini x manual x auto link alternatif rungkad mahjong slotgacorhariini mahjong,positif
2025-10-17T11:13:33.000Z,info rtp live terupdate main sweet bonanza scatter turun terus link alternatif judionline rtplive stopjudionline,positif
2025-10-17T13:06:19.000Z,wd berapapun pasti dibayar main starlight princess depo k main sepuasnya daftar sekarang maxwin maxwin slotgacor mahjong,positif
2025-10-17T14:13:02.000Z,wd berapapun pasti dibayar main gates of olympus depo k main sepuasnya daftar sekarang slotgacor,positif
2025-10-17T16:41:24.000Z,main koi gate rtp anti rungkad klik link di bio rungkad maxwin stopjudionline pinjol,positif
2025-10-17T19:55:43.000Z,main starlight princess pola gacor malam ini x manual x auto daftar sekarang rtplive judionline,positif
2025-10-17T20:39:45.000Z,bapaknya ludes duitnya buat judol bikin emosi,negatif
2025-10-17T21:22:17.000Z,info terkini ppatk temukan aliran dana triliunan terkait situs slot selengkapnya,netral
2025-10-17T21:30:24.000Z,main mahjong ways rtp anti rungkad link alternatif mahjong zeus slotgacor rungkad,positif
2025-10-17T23:31:29.000Z,wd berapapun pasti dibayar main gates of olympus pola gacor malam ini x manual x auto daftar sekarang maxwin,positif
2025-10-18T01:23:31.000Z,info rtp live terupdate main koi gate scatter turun terus klik link di bio judionline pinjol rtplive stopjudionline,positif
2025-10-18T03:36:56.000Z,wd berapapun pasti dibayar main sweet bonanza scatter turun terus klik link di bio mahjong slotgacorhariini rungkad,positif
2025-10-18T03:42:48.000Z,wd berapapun pasti dibayar main koi gate pola gacor malam ini x manual x auto gas mahjong maxwin slotgacorhariini,positif
2025-10-18T03:52:09.000Z,bonus new member main mahjong ways depo k main sepuasnya daftar sekarang mahjong rtplive,positif
2025-10-18T04:17:30.000Z,info rtp live terupdate main koi gate scatter turun terus link alternatif rungkad,positif
2025-10-18T04:18:43.000Z,wd berapapun pasti dibayar main gates of olympus pola gacor malam ini x manual x auto daftar sekarang rtplive stopjudionline pinjol,positif
2025-10-18T05:54:22.000Z,maxwin menanti main starlight princess depo k main sepuasnya daftar sekarang stopjudionline rungkad,positif
2025-10-18T06:02:27.000Z,tolol emang yang main judol,netral
2025-10-18T06:59:09.000Z,adik kelas sampe jual motor buat scatter bangsat emang,negatif
2025-10-18T07:28:50.000Z,temen gw gila main scatter bikin emosi,negatif
2025-10-18T10:15:37.000Z,info rtp live terupdate main koi gate scatter turun terus link alternatif judionline slotgacor mahjong judionline,positif
2025-10-18T10:44:34.000Z,gacor parah bosku main koi gate rtp anti rungkad klik link di bio stopjudionline slotgacorhariini judionline slotgacor,positif
2025-10-18T13:37:35.000Z,ppatk temukan aliran dana triliunan terkait sindikat judol internasional selengkapnya,netral
2025-10-18T13:40:17.000Z,info rtp live terupdate main mahjong ways depo k main sepuasnya klik link di bio rtplive stopjudionline pinjol rungkad,positif
2025-10-18T14:09:39.000Z,tolol emang yang main judol,netral
2025-10-18T14:13:02.000Z,maxwin menanti main gates of olympus depo k main sepuasnya klik link di bio judionline rungkad stopjudionline mahjong,positif
2025-10-18T14:45:21.000Z,gacor parah bosku main sweet bonanza depo k main sepuasnya klik link di bio slotgacor slotgacor pinjol,positif
2025-10-18T15:21:06.000Z,gw ketagihan judi onlen asli sedih liatnya,negatif
2025-10-18T15:35:37.000Z,bonus new member main mahjong ways pola gacor malam ini x manual x auto link alternatif pinjol rungkad,positif
2025-10-18T15:42:37.000Z,info terkini kominfo memblokir ratusan situs situs slot selengkapnya,netral
2025-10-18T17:54:37.000Z,breaking polisi berhasil menggerebek markas situs slot selengkapnya,netral
2025-10-18T19:23:15.000Z,wd berapapun pasti dibayar main gates of olympus pola gacor malam ini x manual x auto gas pinjol judionline slotgacorhariini slotgacor,positif
2025-10-18T19:42:45.000Z,main sweet bonanza rtp anti rungkad link alternatif mahjong pinjol rtplive judionline,positif
2025-10-18T20:21:52.000Z,malah promosi,netral
2025-10-18T22:17:18.000Z,tolol emang yang main judol,netral
2025-10-18T22:20:22.000Z,bonus new member main sweet bonanza depo k main sepuasnya link alternatif stopjudionline judionline pinjol pinjol,positif
2025-10-19T01:50:47.000Z,wkwkwk slot terus,netral
2025-10-19T05:03:38.000Z,temen gw terlilit pinjol gara slot kapan sadarnya sih,negatif
2025-10-19T06:08:36.000Z,gw gila main slot bikin emosi,negatif
2025-10-19T07:22:05.000Z,gacor parah bosku main sweet bonanza rtp anti rungkad link alternatif rtplive,positif
2025-10-19T09:14:37.000Z,report aja akun bot,netral
2025-10-19T09:26:24.000Z,wkwkwk slot terus,netral
2025-10-19T11:14:10.000Z,gacor parah bosku main starlight princess rtp anti rungkad klik link di bio zeus stopjudionline slotgacor,positif
2025-10-19T12:33:15.000Z,adik kelas gila main slot keluarga berantakan,negatif
2025-10-19T13:17:21.000Z,ppatk temukan aliran dana triliunan terkait situs slot kunjungi,netral
2025-10-19T15:55:15.000Z,wkwkwk slot terus,netral
2025-10-19T16:19:05.000Z,wd berapapun pasti dibayar main koi gate pola gacor malam ini x manual x auto gas maxwin stopjudionline rungkad,positif
2025-10-19T21:11:21.000Z,main koi gate rtp anti rungkad gas stopjudionline stopjudionline,positif
2025-10-19T21:28:50.000Z,bonus new member main starlight princess scatter turun terus link alternatif rungkad rungkad rungkad stopjudionline,positif
